,created_at,name,screen_name,description,id,location,followers_count,following_count,listed_count,tweet_count
0,2010-04-21T04:39:28.000Z,MH Advocacy Services,MHAS_LA,Mental Health Advocacy Services. Nonprofit organization providing free legal svcs to children and adults with mental health disabilities in Los Angeles County.,135385762,"Los Angeles, CA",787,635,31,2448
1,2014-10-11T01:29:16.000Z,#DepressedWhileBlack,DepressedWBlack,Black-affirming mental health nonprofit founded by Imadé (she/her) Opinions are my own IN-PROGRESS BOOK EXCERPT: https://t.co/pE0AxbUjNt DepressedWhileBlack@gmail.com,2821790135,"Greensboro, NC",7831,1109,95,46962
2,2019-10-16T13:36:02.000Z,asafeplaceinsideyourhead,ASPIYH,Mental Health NonProfit | We Rise By Lifting Others | Daily Dose of Support | Donation Link in Bio | Work With Us 🧠 | YouTube link in Bio,1184462985248542720,"Fort Worth, TX",941,16,2,472
3,2017-11-17T13:32:45.000Z,Social Coasting,SocialCoasting,Social Coasting is a remote #socialmedia agency specializing in #mentalhealth nonprofits and small businesses. 🤓,931515454853668866,"Lansing, MI",354,349,0,2368
4,2013-07-10T00:45:35.000Z,You Rock Foundation,YouRockFNDN,501(c)(3) #MentalHealth & #SuicidePrevention #nonprofit that uses #music to overcome #mentalillness. #LetLyricsSpeak 🗣 for you if you're suffering in silence.,1581797316,"Worldwide, based in New Jersey",5151,4760,74,7688
5,2014-09-11T17:14:02.000Z,MHA Policy Team,B4Stage4,The country’s leading nonprofit dedicated to helping ALL people live mentally healthier lives.,2767300211,"Alexandria, VA",7327,826,39,1303
6,2016-05-12T23:43:06.000Z,Picking Me Foundation #dermatillomania,PickingMeFdn,#MentalHealth & #skinpickingdisorder #nonprofit encouraging #excoriationdisorder sufferers in #PickingMe over #SkinPicking #BFRB,730906175479238656,"Chicago, IL",3843,2748,80,11027
7,2009-09-18T17:36:33.000Z,notMYkid,notMYkidTweets,notMYkid is a youth mental health and wellness nonprofit offering the full continuum of mental and behavioral health and wellness programs and services.,75337570,"Scottsdale, AZ",917,257,24,958
8,2016-04-02T17:31:39.000Z,Mental Health Foundation,MentalHealthFN,The Mental Health Foundation is a Nonprofit Organization. We raise awareness for positive Mental Health #BreakTheStigma Follow 💚,716317182167089152,United States,20539,10719,127,565
9,2019-10-10T20:10:22.000Z,The Mental Health Coalition,mentalhealthcln,"A collective of the most influential and respected nonprofits, businesses, and experts coming together to destigmatize mental health.",1182387893857390594,,3133,156,39,2489
10,2013-12-05T15:21:02.000Z,Mental Health Association of Maryland,mentalhealthMD,"MHAMD is Maryland’s only volunteer nonprofit citizens organization. We envision a just, humane, and healthy society for all——free from stigma and prejudice.",2231626538,"Baltimore, Md.",2015,978,39,5516
11,2018-10-24T14:09:42.000Z,Mental Health Hackers,HackersHealth,A nonprofit organization striving to reach out to other #hackers in the community to improve our mental health and learn to help our family and friends,1055099014658580481,,6831,726,80,1350
12,2013-08-22T17:48:21.000Z,Mental Health Connecticut,MentalHealthCT,"Mental Health Connecticut is a statewide, nonprofit organization committed to improving mental health for all through education, advocacy and service.",1691659644,"West Hartford, CT",1291,1135,19,1745
13,2015-06-29T23:30:37.000Z,Mental Health America of Los Angeles,MHA_Los_Angeles,"MHALA is a nonprofit organization that works to ensure that people with #mentalhealth needs achieve meaningful, healthy lives.",3260459712,"Los Angeles, CA",767,719,15,326
14,2014-08-25T14:21:20.000Z,Youth Mental Health Canada,YMHCanada,"A registered nonprofit (BN: 771374915RR0001) focused on #youth #family & #community 4 #intersectional #mentalhealth education, support, advocacy & change #ymhc",2766540421,Canada,13052,11836,260,30099
15,2009-06-30T20:20:21.000Z,Spectrum Health Systems,SHSInc,"National leader in private, nonprofit substance abuse & mental health treatment. Call 1-877-MyRehab today!",52507571,"Worcester, MA",1268,2242,36,3773
16,2011-04-20T04:07:03.000Z,Momentum for Health,MomentumforH,"CARF-accredited: Largest private nonprofit agency in Santa Clara County providing mental health services to over 3800 youth, adults and older adults annually.",284882583,"San Jose, CA",422,423,13,1776
17,2008-08-08T20:30:14.000Z,JED,jedfoundation,The Jed Foundation is a nonprofit that supports the #mentalhealth of teens & young adults. @loveislouder #SeizetheAwkward #suicideprevention,15782633,New York,30335,3289,562,8857
